Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,76.14654541015625,173788400
2020-02-04,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,78.66041564941406,136616400
2020-02-05,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,79.30182647705078,118826800
2020-02-06,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,80.22943115234375,105425600
2020-02-07,80.59249877929688,80.8499984741211,79.5,80.00749969482422,79.13890075683594,117684000
2020-02-10,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,79.5147705078125,109348800
2020-02-11,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,79.03502655029297,94323200
2020-02-12,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,80.91194152832031,113730400
2020-02-13,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,80.33575439453125,94747600
2020-02-14,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,80.35554504394531,80113600
2020-02-18,78.83999633789062,79.9375,78.65249633789062,79.75,78.88419342041016,152531200
2020-02-19,80.0,81.14250183105469,80.0,80.90499877929688,80.02664947509766,93984000
2020-02-20,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,79.20565795898438,100566000
2020-02-21,79.65499877929688,80.11250305175781,77.625,78.26249694824219,77.41283416748047,129554000
2020-02-24,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,73.7356948852539,222195200
2020-02-25,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,71.23809814453125,230673600
2020-02-26,71.63249969482422,74.47000122070312,71.625,73.1624984741211,72.36820983886719,198054800
2020-02-27,70.2750015258789,71.5,68.23999786376953,68.37999725341797,67.63762664794922,320605600
2020-02-28,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,67.59806060791016,426510000
2020-03-02,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,73.89148712158203,341397200
2020-03-03,75.9175033569336,76.0,71.44999694824219,72.33000183105469,71.54473876953125,319475600
2020-03-04,74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,74.86331176757812,219178400
2020-03-05,73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,72.43497467041016,187572800
2020-03-06,70.5,72.70500183105469,70.30750274658203,72.25749969482422,71.47303771972656,226176800
2020-03-09,65.9375,69.52249908447266,65.75,66.5425033569336,65.82007598876953,286744800
2020-03-10,69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,70.560546875,285290000
2020-03-11,69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,68.10993957519531,255598800
2020-03-12,63.98500061035156,67.5,62.0,62.057498931884766,61.383766174316406,418474000
2020-03-13,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,68.73804473876953,370732000
2020-03-16,60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.89510726928711,322423600
2020-03-17,61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,62.5286979675293,324056000
2020-03-18,59.942501068115234,62.5,59.279998779296875,61.66749954223633,60.99800109863281,300233600
2020-03-19,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,60.53063201904297,271857200
